white,black,time_ratio_mean
nega-aggro-3,mcts-05-10k-random,0.29838527121796843
nega-aggro-3,mcts-10-10k-epsilon-75,0.07367532770154415
nega-aggro-3,mcts-10-10k-epsilon-95,0.1813446784251844
nega-aggro-3,mcts-10-10k-random,0.23985493767924834
nega-aggro-3,mcts-full-1k-random,0.19032073745513559
nega-aggro-3,nega-aggro-1,311.82700377211575
nega-aggro-3,nega-aggro-2,14.777284571370197
nega-aggro-3,nega-aggro-3,0.9220228682403281
nega-aggro-3,nega-attack-1,95.93578317113608
nega-aggro-3,nega-attack-2,4.518416711726538
mcts-05-10k-epsilon-75,random,529421.6536495516
nega-aggro-3,nega-attack-3,0.33177485641047466
nega-aggro-3,nega-center-1,257.3610009397739
nega-aggro-3,nega-center-2,17.681381374614116
nega-aggro-3,nega-center-3,1.1881397246345964
nega-aggro-3,nega-pieces-1,4351.306093853491
nega-aggro-3,nega-pieces-2,261.3908763848709
nega-aggro-3,nega-pieces-3,21.96882092174065
nega-aggro-3,random,74998.13757668296
nega-attack-1,mcts-05-10k-epsilon-75,0.0019020323213493316
nega-attack-1,mcts-05-10k-epsilon-95,0.003329629155068933
mcts-05-10k-epsilon-95,mcts-05-10k-epsilon-75,0.5943456841047372
nega-attack-1,mcts-05-10k-random,0.003922112147355211
nega-attack-1,mcts-10-10k-epsilon-75,0.0011104581881836602
nega-attack-1,mcts-10-10k-epsilon-95,0.0021883894903466706
nega-attack-1,mcts-10-10k-random,0.0029148214066977906
nega-attack-1,mcts-full-1k-random,0.0019093254096897046
nega-attack-1,nega-aggro-1,3.885807000316526
nega-attack-1,nega-aggro-2,0.2431661453599041
nega-attack-1,nega-aggro-3,0.012087557522524052
nega-attack-1,nega-attack-1,1.1599609621161333
nega-attack-1,nega-attack-2,0.09537102485921077
mcts-05-10k-epsilon-95,mcts-05-10k-epsilon-95,1.0052663694466348
nega-attack-1,nega-attack-3,0.0045872759712364325
nega-attack-1,nega-center-1,2.8926084620897923
nega-attack-1,nega-center-2,0.25564134131513316
nega-attack-1,nega-center-3,0.01321520517028762
nega-attack-1,nega-pieces-1,25.197911019804064
nega-attack-1,nega-pieces-2,3.6795484790104225
nega-attack-1,nega-pieces-3,0.28034608941167966
nega-attack-1,random,1055.9917288629945
mcts-05-10k-epsilon-75,mcts-05-10k-random,2.2055007060588836
nega-attack-2,mcts-05-10k-epsilon-75,0.015293860260901865
